player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Finch,5334,San Francisco Unicorns,2023,Major League Cricket,-24.621,-0.32,-24.621,-0.32,0,0,68,77,9,39,3,68,26,4,NA,NA,0,NA,NA,NA,NA,0.883,17,77,NA,0.117,0.039,NA,0.506,0.382,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Adam Zampa,379504,Los Angeles Knight Riders,2023,Major League Cricket,-6.696,-0.048,-9.454,-0.394,2.757,0.024,22,24,1,7,0,23,18,2,9,162,116,16,34,8.379,18,0.917,11,140,0.138,0.042,0,0.293,0.292,0.783,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
Akeal Hosein,530812,Washington Freedom,2023,Major League Cricket,-1.95,-0.013,-2.498,-0.052,0.549,0.005,59,48,6,14,2,42,31,3,7,130,103,14,40,7.573,18.571,1.229,19.667,151,0.136,0.125,0.042,0.388,0.292,0.738,WSH,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361795.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Ali Khan,927119,Los Angeles Knight Riders,2023,Major League Cricket,-70.515,-0.555,-10.204,-0.85,-60.311,-0.524,5,12,0,8,0,12,5,1,6,208,115,31,39,10.852,34.667,0.417,5,127,0.27,0,0,0.339,0.667,0.417,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/339500/339504.4.jpg
Andre Russell,276298,Los Angeles Knight Riders,2023,Major League Cricket,0.506,0.002,57.099,0.417,-56.593,-0.832,206,137,34,56,15,103,40,3,2,128,68,17,16,11.294,64,1.504,68.667,205,0.25,0.248,0.109,0.235,0.409,0.388,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316615.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316615.png,https://www.espncricinfo.com/db/PICTURES/CMS/308900/308972.png
Andrew Tye,459508,Seattle Orcas,2023,Major League Cricket,-22.821,-0.137,-6.69,-0.836,-16.131,-0.101,6,8,0,3,0,8,6,1,12,237,159,29,50,8.943,19.75,0.75,6,167,0.182,0,0,0.314,0.375,0.75,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321558.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321558.png,https://www.espncricinfo.com/db/PICTURES/CMS/237600/237671.jpg
Andries Gous,485379,Washington Freedom,2023,Major League Cricket,15.441,0.138,15.441,0.138,0,0,142,112,23,44,2,89,46,6,NA,NA,0,NA,NA,NA,NA,1.268,23.667,112,NA,0.205,0.018,NA,0.393,0.517,WSH,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361795.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Anrich Nortje,481979,Washington Freedom,2023,Major League Cricket,-24.868,-0.167,-5.198,-0.866,-19.67,-0.138,4,6,0,2,0,6,4,NA,2,184,143,23,59,7.72,92,0.667,NA,149,0.161,0,0,0.413,0.333,0.667,WSH,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361795.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322080.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322080.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317968.jpg
Calvin Savage,450881,Texas Super Kings,2023,Major League Cricket,3.86,0.031,1.651,0.061,2.208,0.023,39,27,5,8,3,22,13,3,2,130,98,15,30,7.959,65,1.444,13,125,0.153,0.185,0.111,0.306,0.296,0.591,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148435.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148435.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148435.jpg
Cameron Gannon,326635,Seattle Orcas,2023,Major League Cricket,-2.485,-0.016,0,0,-2.485,-0.016,NA,0,NA,NA,NA,NA,NA,NA,13,193,160,23,64,7.237,14.846,NA,NA,160,0.144,NA,NA,0.4,NA,NA,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313646.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313646.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313646.1.jpg
Carmi le Roux,440894,San Francisco Unicorns,2023,Major League Cricket,-35.326,-0.305,-3.858,-1.929,-31.468,-0.276,1,2,0,1,0,2,1,1,3,144,114,21,46,7.579,48,0.5,1,116,0.184,0,0,0.404,0.5,0.5,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Chaitanya Bishnoi,628217,San Francisco Unicorns,2023,Major League Cricket,-3.2,-0.054,-1.292,-0.032,-1.908,-0.106,52,41,6,15,3,35,22,4,1,26,18,2,2,8.667,26,1.268,13,59,0.111,0.146,0.073,0.111,0.366,0.629,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Cody Chetty,322815,Texas Super Kings,2023,Major League Cricket,-18.215,-0.24,-18.215,-0.24,0,0,76,76,11,38,1,65,30,5,NA,NA,0,NA,NA,NA,NA,1,15.2,76,NA,0.145,0.013,NA,0.5,0.462,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/224000/224081.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/224000/224081.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/224000/224081.1.jpg
Corey Anderson,277662,San Francisco Unicorns,2023,Major League Cricket,25.385,0.157,38.722,0.281,-13.337,-0.556,190,138,24,42,12,114,70,4,2,47,24,7,5,11.75,23.5,1.377,47.5,162,0.292,0.174,0.087,0.208,0.304,0.614,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316617.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316617.png,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303609.jpg
Corné Dry,429927,Los Angeles Knight Riders,2023,Major League Cricket,-33.983,-0.531,-10.875,-1.087,-23.109,-0.428,7,10,1,8,1,9,1,3,2,91,54,13,16,10.111,45.5,0.7,2.333,64,0.241,0.1,0.1,0.296,0.8,0.111,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148439.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148439.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148439.jpg
Dane Piedt,379926,Washington Freedom,2023,Major League Cricket,6.166,0.067,-4.927,-0.352,11.093,0.142,15,14,2,5,0,12,7,1,4,93,78,8,28,7.154,23.25,1.071,15,92,0.103,0.143,0,0.359,0.357,0.583,WSH,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361795.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/297300/297369.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/297300/297369.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/297300/297369.1.jpg
Daniel Sams,826901,Texas Super Kings,2023,Major League Cricket,44.132,0.234,0.422,0.005,43.71,0.416,103,84,12,26,7,72,41,4,5,125,105,17,44,7.143,25,1.226,25.75,189,0.162,0.143,0.083,0.419,0.31,0.569,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321573.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321573.png,https://www.espncricinfo.com/db/PICTURES/CMS/309000/309061.png
Dasun Shanaka,437316,Seattle Orcas,2023,Major League Cricket,-25.12,-0.483,-5.844,-0.234,-19.275,-0.714,27,25,3,11,2,22,11,2,0,49,27,6,4,10.889,Inf,1.08,13.5,52,0.222,0.12,0.08,0.148,0.44,0.5,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/328000/328058.png,https://www.espncricinfo.com/db/PICTURES/CMS/328000/328058.png,https://www.espncricinfo.com/db/PICTURES/CMS/327900/327999.7.jpg
David Miller,321777,Texas Super Kings,2023,Major League Cricket,-4.233,-0.036,-4.233,-0.036,0,0,143,118,14,34,7,104,73,7,NA,NA,0,NA,NA,NA,NA,1.212,20.429,118,NA,0.119,0.059,NA,0.288,0.702,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316655.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316655.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317964.jpg
David Wiese,221140,MI New York,2023,Major League Cricket,-53.744,-0.34,3.496,0.117,-57.24,-0.447,41,30,4,5,1,26,23,2,6,213,128,30,32,9.984,35.5,1.367,20.5,158,0.234,0.133,0.033,0.25,0.167,0.885,MI NY,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361791.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322079.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322079.png,https://www.espncricinfo.com/db/PICTURES/CMS/312100/312185.png
Devon Conway,379140,Texas Super Kings,2023,Major League Cricket,49.232,0.274,49.232,0.274,0,0,221,180,28,58,6,152,97,7,NA,NA,0,NA,NA,NA,NA,1.228,31.571,180,NA,0.156,0.033,NA,0.322,0.638,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321214.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321214.png,https://www.espncricinfo.com/db/PICTURES/CMS/318500/318588.1.jpg
Dewald Brevis,1070665,MI New York,2023,Major League Cricket,9.561,0.075,9.561,0.075,0,0,165,128,20,41,9,108,67,4,NA,NA,0,NA,NA,NA,NA,1.289,41.25,128,NA,0.156,0.07,NA,0.32,0.62,MI NY,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361791.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/335100/335134.png,https://www.espncricinfo.com/db/PICTURES/CMS/335100/335134.png,https://www.espncricinfo.com/db/PICTURES/CMS/333900/333935.4.jpg
Dwaine Pretorius,327830,Seattle Orcas,2023,Major League Cricket,-16.691,-0.278,8.508,0.851,-25.199,-0.504,23,10,4,2,1,6,5,2,1,90,50,12,11,10.8,90,2.3,11.5,60,0.24,0.4,0.1,0.22,0.2,0.833,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322077.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322077.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317962.jpg
Dwayne Bravo,51439,Texas Super Kings,2023,Major League Cricket,30.94,0.196,26.557,0.295,4.383,0.064,136,90,19,29,9,71,42,2,3,84,68,6,17,7.412,28,1.511,68,158,0.088,0.211,0.1,0.25,0.322,0.592,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/320000/320092.png,https://www.espncricinfo.com/db/PICTURES/CMS/320000/320092.png,https://www.espncricinfo.com/db/PICTURES/CMS/309000/309099.png
Ehsan Adil,547092,MI New York,2023,Major League Cricket,-56.356,-0.512,0,0,-56.356,-0.512,NA,0,NA,NA,NA,NA,NA,NA,3,154,110,23,41,8.4,51.333,NA,NA,110,0.209,NA,NA,0.373,NA,NA,MI NY,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361791.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316700/316704.png,https://www.espncricinfo.com/db/PICTURES/CMS/316700/316704.png,https://www.espncricinfo.com/db/PICTURES/CMS/203100/203131.1.jpg
Faf du Plessis,44828,Texas Super Kings,2023,Major League Cricket,-74.323,-1.304,-74.323,-1.304,0,0,46,57,5,27,0,52,26,7,NA,NA,0,NA,NA,NA,NA,0.807,6.571,57,NA,0.088,0,NA,0.474,0.5,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316559.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316559.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317961.jpg
Finn Allen,959759,San Francisco Unicorns,2023,Major League Cricket,-31.371,-0.667,-31.371,-0.667,0,0,75,47,15,23,4,32,7,5,NA,NA,0,NA,NA,NA,NA,1.596,15,47,NA,0.319,0.085,NA,0.489,0.219,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321220.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321220.png,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271806.jpg
Gajanand Singh,230551,Los Angeles Knight Riders,2023,Major League Cricket,-3.123,-1.041,-3.123,-1.041,0,0,3,3,0,2,0,3,3,1,NA,NA,0,NA,NA,NA,NA,1,3,3,NA,0,0,NA,0.667,1,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,NA,NA,NA
Gerald Coetzee,596010,Texas Super Kings,2023,Major League Cricket,5.557,0.056,-7.206,-1.441,12.763,0.136,4,5,0,1,0,5,4,2,8,128,94,17,41,8.17,16,0.8,2,99,0.181,0,0,0.436,0.2,0.8,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/348500/348579.png,https://www.espncricinfo.com/db/PICTURES/CMS/348500/348579.png,https://www.espncricinfo.com/db/PICTURES/CMS/345900/345943.4.jpg
Glenn Phillips,823509,Washington Freedom,2023,Major League Cricket,3.74,0.035,1.302,0.013,2.438,0.406,122,100,14,35,6,86,54,6,0,4,6,0,2,4,Inf,1.22,20.333,106,0,0.14,0.06,0.333,0.35,0.628,WSH,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361795.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321223.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321223.png,https://www.espncricinfo.com/db/PICTURES/CMS/303500/303599.jpg
Hammad Azam,384518,MI New York,2023,Major League Cricket,-38.648,-0.899,-29.05,-0.785,-9.598,-1.6,25,37,3,20,0,34,13,3,0,15,6,2,1,15,Inf,0.676,8.333,43,0.333,0.081,0,0.167,0.541,0.382,MI NY,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361791.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302870.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302870.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302870.jpg
Haris Rauf,1161606,San Francisco Unicorns,2023,Major League Cricket,-12.624,-0.096,0.437,0.109,-13.061,-0.103,7,4,1,2,1,3,1,1,8,172,127,20,48,8.126,21.5,1.75,7,131,0.157,0.25,0.25,0.378,0.5,0.333,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322202.png,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322202.png,https://www.espncricinfo.com/db/PICTURES/CMS/312100/312183.png
Harmeet Singh,422847,Seattle Orcas,2023,Major League Cricket,25.311,0.173,-6.476,-1.619,31.786,0.224,2,4,0,2,0,4,2,1,8,167,142,18,51,7.056,20.875,0.5,2,146,0.127,0,0,0.359,0.5,0.5,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148408.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148408.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148408.jpg
Heinrich Klaasen,436757,Seattle Orcas,2023,Major League Cricket,79.313,0.661,79.313,0.661,0,0,235,120,34,23,14,86,71,4,NA,NA,0,NA,NA,NA,NA,1.958,58.75,120,NA,0.283,0.117,NA,0.192,0.826,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322073.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322073.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317958.jpg
Imad Wasim,227758,Seattle Orcas,2023,Major League Cricket,89.553,0.431,-4.258,-0.07,93.811,0.638,69,61,7,14,1,54,39,3,10,153,147,19,72,6.245,15.3,1.131,23,208,0.129,0.115,0.016,0.49,0.23,0.722,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320451.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320451.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302871.jpg
Jaskaran Malhotra,430105,Los Angeles Knight Riders,2023,Major League Cricket,-13.916,-0.316,-13.916,-0.316,0,0,48,44,6,21,3,38,18,5,NA,NA,0,NA,NA,NA,NA,1.091,9.6,44,NA,0.136,0.068,NA,0.477,0.474,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/280300/280309.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/280300/280309.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/280300/280309.1.jpg
Jason Roy,298438,Los Angeles Knight Riders,2023,Major League Cricket,14.584,0.394,14.584,0.394,0,0,54,37,9,15,4,28,10,3,NA,NA,0,NA,NA,NA,NA,1.459,18,37,NA,0.243,0.108,NA,0.405,0.357,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319791.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319791.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303963.jpg
Jessy Singh,772471,MI New York,2023,Major League Cricket,-31.311,-2.609,0,0,-31.311,-2.609,NA,0,NA,NA,NA,NA,NA,NA,0,33,12,5,2,16.5,Inf,NA,NA,12,0.417,NA,NA,0.167,NA,NA,MI NY,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361791.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/340300/340317.png,https://www.espncricinfo.com/db/PICTURES/CMS/340300/340317.png,https://www.espncricinfo.com/db/PICTURES/CMS/339500/339518.4.jpg
Justin Dill,594293,Washington Freedom,2023,Major League Cricket,12.545,0.405,-0.363,-0.121,12.908,0.461,3,3,0,0,0,3,3,1,2,26,28,1,9,5.571,13,1,3,31,0.036,0,0,0.321,0,1,WSH,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361795.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/179800/179801.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/179800/179801.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/179800/179801.1.jpg
Kagiso Rabada,550215,MI New York,2023,Major League Cricket,7.597,0.101,-14.107,-1.763,21.705,0.324,1,8,0,6,0,8,1,2,6,81,67,8,27,7.254,13.5,0.125,0.5,75,0.119,0,0,0.403,0.75,0.125,MI NY,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361791.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320376.png,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320376.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317954.jpg
